Filename	Notes	Audio Filename	UK (United Kingdom)	F (France)	D (Germany)	E (Spain)	IT (Italy)
GOLDMINE_INTROCAM4	s	goldmine_introcam4.wav	Keep on track for this sign!	"Pas de vague à l'âme, dans le wagonnet !"	Für das Schild darfst nu nis aus dem Dleis deraten!	¡Sigue el camino hasta la señal!	Qui non devi mai uscile dai binali!
GOLDMINE_INTROCAM5	s	goldmine_introcam5.wav	Uh-oh! You should have learned to swim Mr Puddy Taz!	"Ho, ho, tu aurais dû apprendre à nager, Tazounet !"	"Oh-oh! Du hättest schwimmen lernen sollen, Mister Mieze-Taz! "	"¡Oh-oh! ¡Debiste aprender a nadar, señor lindo Taz!"	"Oh, oh! Te l'avevo detto che ti conveniva impalale a nuotale!"
GOLDMINE_INTROCAM6	s	goldmine_introcam6.wav	Here's your chance!  I don't think Yosemite Sam can stand the pressure!	C'est l'occasion ! Sam n'aime pas qu'on fasse pression sur lui !	"Das is' deine Chance! Is dlaube nis, dass Yosemite Sam dem Druck standhalten tann!"	¡Es tu gran oportunidad! ¡No creo que Sam aguante la presión!	È la tua occasione! Neanche Yosemite Sam potlebbe lesistele a questa plessione!
GOLDMINE_INTROCAM7	s	goldmine_introcam7.wav	"You spin so many discs, you should have been a DJ!"	"Tu manies si bien les disques, tu devrais être D.J !"	"Du drehst so viele Scheiben, du hättest DJ werden sollen!"	"¡Giras discos como un tornado, deberías ser un DJ (disc-jockey)!"	"Se salai blavo a fal gilale il disco, potlai anche fale il DJ!"
GOLDMINE_INTROCAM8	s	goldmine_introcam8.wav	Many hands make light work but it only takes one mean ol' devil to break it!	"Même s'il n'est pas une lumière, ça n'empêche pas Tazounet de faire des étincelles !"	"Viele Hände machen der Arbeit ssnell ein Ende, aber man braucht nur einen demeinen alten Teufel, um sie taputt zu machen!"	"¡Con muchas manos no conseguirás nada, se necesita un diablo muy malo para cargárselo!"	"Qui ci vollebbelo molte blaccia lobuste, ma se aguzzi l'ingegno, ce la puoi fale anche da solo!"
GHOST_INTROCAM1	s	ghost_introcam1.wav	This doesn't look like an easy chair to me - keep your head down!	Encore pire qu'un siège de dentiste ! Garde la tête baissée !	Das sieht mir nis nach einem Sessel aus - lass lieber den Topf unten!	"¡Esto no es una mecedora, amigo - cuidado con la cabeza!"	"Non è una sedia elettlica, ma ci manca poco! Attento alla scossa!"
GHOST_INTROCAM2	s	ghost_introcam2.wav	The prognosis isn't good for that stained glass window!	Ce hublot ne fera pas de vieux os !	Die Prognose sieht nis dut aus für das Buntglasfenster!	¡Esta vidriera no tiene un diagnóstico muy bueno!	Qualcosa mi dice che la solte di quella bella vetlata sia segnata!
GHOST_INTROCAM3	s	ghost_introcam3.wav	Ledge-end has it that the answer is in the attic! 	On ne trouve pas que les palefreniers dans les greniers !	"Simsalabim, die Antwort liegt auf dem Dachboden!"	¡La cornisa indica que la respuesta está en el desván! 	Che panolama! Da questa tellazza è mozzafiato!
GHOST_INTROCAM4	s	ghost_introcam4.wav	"If you get wound up, this one's a walkover!"	"Pour ne pas se blesser, il faut pas manquer la marche !"	"Wenn du aufdezogen bist, is' das ein Kinderspiel!"	"¡Es pan comido, si sabes cómo ventilarlo!"	"Se tlovi l'inglanaggio giusto, tlovelai anche il postel"
GHOST_INTROCAM5	s	ghost_introcam5.wav	This one is all the fun of the fair Puddy Taz! 	"Ça, c'est de la rigolade pour Tazounet !"	"Das is' das reinste Deisterbahn-Vergnügen, Mieze-Taz!"	"¡Con éste te vas a divertir, lindo Taz! "	"Qui salà diveltente, con il mezzo di tlaspolto giusto!"
GHOST_INTROCAM6	s	ghost_introcam6.wav	This one will drive you up the wall! 	T'as intérêt à raser les murs !	Das wird dis die Wände hoch dehen lassen!	¡Con eso te subirás por las paredes! 	Nel tunnel sottellaneo c'è un tesolo!
GHOST_INTROCAM7	s	ghost_introcam7.wav	Do you like pumpkin pie? 	Tu aimes la tarte à la citrouille ?	Magst du dern Türbis-Tuchen?!	¿Te gusta el pastel de calabaza? 	Ti piace la tolta di zucca?
TASMANIA_INTROCAM1	s	tasmania_introcam1.wav	"If you want to get to the top, you've got to break a few eggs!"	On ne fait pas d'omelette sans casser des œufs !	"Wenn du auf den Dipfel willst, musst du ein paar Eier taputt machen! "	¡Si quieres llegar a la cima tendrás que romper unos cuantos huevos!	Punta in alto non avel paura di lompele le uova nel paniele!
TASMANIA_INTROCAM2	s	tasmania_introcam2.wav	"Don't dig around here, get a move on!"	"C'est évident, ne perds pas de temps !"	"Lass dis nis anbaggern, leg'n Zahn zu!"	"¡No caves por aquí, cambia de lugar!"	Non scavale tloppo nel tuo cuole. Tlovalo!
TASMANIA_INTROCAM3	s	tasmania_introcam3.wav	You can run-away with this one! 	Tout est question de réaction !	Mit dem hier tannst du weglaufen!	¡Con éste podrás huir! 	"Fa ploplio al caso tuo, questa tulbina!"
TASMANIA_INTROCAM4	s	tasmania_introcam4.wav	One-two-three! Okay - into the shredder!	"Un, deux, trois, tronçonnez-moi ça !"	"Eins, zwei, drei! Okay, ab in den Reißwolf!"	"¡Un, dos, tres! Bien,  OK, ¡Métete en la desfibradora!"	"1, 2, 3! Ecco fatto! Il postel è a fette!"
TASMANIA_INTROCAM5	s	tasmania_introcam5.wav	"Take the plunge, it'll be a blast!  "	"Utilise le plongeoir, ça va t'exploser !"	"Drück auf den Auslöser, das wird 'n Kracher!"	"¡Pega una zambullida, será genial! "	Dai la calica e vedlai che botto!
TASMANIA_INTROCAM6	s	tasmania_introcam6.wav	"No time to monkey around here, Puddy Taz - get straight to the point."	"Arrête tes singeries, Tazounet ! Passe aux choses sérieuses !"	"Lass dich doch nich' zum Affen machen, Mieze-Taz, tomm direkt auf den Punkt!"	"No hay tiempo para monerías, lindo Taz- ve directamente al grano."	"È inutile stal lì a scimmiottale le scimmie, diavoletto. Alliva dlitto al punto."
TASMANIA_INTROCAM7	s	tasmania_introcam7.wav	This is as easy as making toothpicks!	C'était vraiment les doigts dans le nez !	Das is' so leicht wie Zahnstocher zu machen!	¡Es más fácil que fabricar palillos!	"Questo è facile, ma stai attento ai tlonchi!"
LS_CHOOSE_LANGUAGE	Text prompt on the language selection screen.	s	Choose Language	Choisir une langue	Sprache auswählen	Elegir idioma	Scegli lingua
PRESS_X_TO_CONTINUE	s	s	@(cross) Select	@(cross) Sélectionner	@(cross) Auswählen	@(cross) Seleccionar	@(cross) Scegli
PRESS_X_TO_ENTER_TAZ	s	s	@(cross) Enter Level	@(cross) Commencer le niveau	@(cross) Level beginnen	@(cross) Empezar nivel	@(cross) Inizia livello
PRESS_Y_TO_RETURN_TO_HUB	s	s	@(triangle) Return To Hub	@(triangle) Retourner au Centre	@(triangle) Zurück zum Hauptbildschirm	@(triangle) Volver a la base	@(triangle) Ritorna alla base
PRESS_Y_TO_CANCEL	s	s	@(triangle) Cancel	@(triangle) Annuler	@(triangle) Abbrechen	@(triangle) Cancelar	@(triangle) Annulla
PRESS_START_TO_CONTINUE	s	s	Press START button	Appuyer sur la touche START	START-Taste drücken	Pulsar el botón START	Premi il tasto START
PRESS_JUMP_TO_CONTINUE	s	s	@(cross) Press JUMP	@(cross) Appuyer sur la touche SAUTER	@(cross) SPRINGEN drücken	@(cross) Pulsar el botón SALTAR	@(cross) Premi il tasto SALTO
PRESS_Y_TO_GO_BACK	s	s	@(triangle) Back	@(triangle) Retour	@(triangle) Zurück	@(triangle) Atrás	@(triangle) Indietro
PRESS_START_TO_RESUME	s	s	@(start) Resume	@(start) Reprendre	@(start) Wieder aufnehmen	@(start) Continuar	@(start) Riprendi
CONTINUE_OR_CANCEL	s	s	@(cross) Continue  @(triangle) Cancel	@(cross) Continuer  @(triangle) Annuler	@(cross) Weiter  @(triangle) Abbrechen	@(cross) Continuar  @(triangle) Cancelar	@(cross) Continua  @(triangle) Annulla
RESUME_OR_SELECT	s	s	@(start) Resume  @(cross) Select	@(start) Reprendre  @(cross) Sélectionner	@(start) Wieder aufnehmen  @(cross) Auswählen	@(start) Reanudar  @(cross) Seleccionar	@(start) Riprendi  @(cross) Scegli
RESUME_OR_BACK	s	s	@(start) Resume  @(triangle) Back	@(start) Reprendre  @(triangle) Retour	@(start) Wieder aufnehmen  @(triangle) Zurück	@(start) Reanudar  @(triangle) Atrás	@(start) Riprendi  @(triangle) Indietro
RESUME_SELECT_OR_BACK	s	s	@(start) Resume  @(cross) Select  @(triangle) Back	@(start) Reprendre  @(cross) Sélectionner  @(triangle) Retour	@(start) Wieder aufnehmen  @(cross) Auswählen  @(triangle) Zurück	@(start) Reanudar  @(cross) Seleccionar  @(triangle) Atrás	@(start) Riprendi  @(cross) Scegli  @(triangle) Indietro
PRESS_X_OK_Y_RETRY			@(cross) Ok  @(triangle) Retry	@(cross) Ok  @(triangle) Réessayer	@(cross) Ok  @(triangle) Neuer Versuch	@(cross) Ok  @(triangle) Reintentar	@(cross) Ok  @(triangle) Riprova
PAUSE_TITLE	Printed on-screen when the game is in pause mode.	s	Paused	Pause	Pause	Pausa	Pausa
PAUSE_MAP	Menu option from the pause menu for the player to see the area map.	s	Map	Carte	Karte	Mapa	Mappa
PAUSE_OPTIONS	Menu option from the pause menu for the player to alter in-game settings.	s	Options	Options	Optionen	Opciones	Opzioni
PAUSE_EXITLEVEL	s	s	Level	Niveau	Level	Nivel	Livello
PAUSE_STATS	Menu option from the pause menu for the player to see their current statistics - no. of pickups etc.	s	Stats	Statistiques	Statistiken	Estadísticas	Statistiche
PAUSE_QUIT_GAME	Menu option from the pause menu to allow the player to quit the current game and return to the front end.	s	Quit the current game	Quitter la partie en cours	Laufendes Spiel beenden	Salir de la partida actual	Esci dalla partita in corso
PAUSE_VIEW_MAP	"Informational text printed when the ""Map"" menu option is highlighted."	s	View the map	Voir la carte	Karte anzeigen	Visualizar el mapa	Visualizza mappa
PAUSE_VIEW_STATS	"Informational text printed when the ""Stats"" menu option is highlighted."	s	View your statistics	Voir les statistiques	Statistiken anzeigen	Visualizar tus estadísticas	Visualizza statistiche
PAUSE_VIEW_OPTIONS	"Informational text printed when the ""Options"" menu option is highlighted."	s	In-game options	Options	Spieloptionen	Opciones de juego	Opzioni di gioco
PAUSE_CURRENT_STATS	"Title of the ""Stats"" page from the pause menu."	s	Current Stats	Statistiques actuelles	Aktuelle Statistiken	Estadísticas actuales	Statistiche attuali
ADJUST_SFX_VOLUME	Informational text printed when the player has selected to adjust the SFX volume.	s	Adjust the sound effects volume	Modifier le volume des effets sonores	Lautstärke der Soundeffekte regeln	Ajustar el volumen de los efectos de sonido	Regola il volume degli effetti
ADJUST_MUSIC_VOLUME	Informational text printed when the player has selected to adjust the music volume.	s	Adjust the music volume	Modifier le volume de la musique	Musiklautstärke regeln	Ajustar el volumen de la música	Regola il volume della musica
ADJUST_VIBRATION	Informational text printed when the player has selected to adjust the joypad vibration function.	s	Adjust the vibration settings	Régler la fonction vibration	Vibrationseinstellung	Ajustar las configuraciones de vibración	Imposta la vibrazione
EXIT_TOHUB	Text used to ask the player if they wish to leave the level and return to the world hub from which they came.	s	Return To Hub	Retourner au Centre	Zurück zum Hauptbildschirm	Volver al centro	Ritorna alla base
PRESS_Y_TO_FINISH_LEVEL	"Text printed when the player has destroyed all the Wanted posters on the level and has entered the ""exit region""."	s	You've destroyed all the posters - complete the level and return to the hub?	Vous avez détruit toutes les affiches. Terminer le niveau et retourner au Centre ?	Du hast alle Poster zerstört - Willst du den Level abschließen und zum Hauptbildschirm zurückkehren?	Has destruido todos los carteles. ¿Quieres completar el nivel y volver a la base?	"Hai distrutto tutti i poster, vuoi completare il livello e tornare alla base?"
PRESS_Y_TO_FINISH_LEVEL_SHORT	Shorter version of above removing reference to hub.	s	You've destroyed all the posters - complete the level?	Vous avez détruit toutes les affiches. Terminer le niveau ?	Du hast alle Poster zerstört - willst du den Level abschließen?	Has destruido todos los carteles. ¿Terminar el nivel?	Hai distrutto tutti i poster - vuoi completare il livello?
EXIT_EXITGAME	"Informational text printed when the ""Quit game"" menu option is highlighted."	s	Exit Game	Quitter le jeu	Spiel verlassen	Salir del juego	Esci dal gioco
RESUME_TO_RETURN	Option to return to the game from the pause menu.	s	Return To Game	Revenir au jeu	Zurück zum Spiel	Volver al juego	Ritorna al gioco
PLAYER_RANKING_DEFAULT	We have a ranking system for the players' performance in a level.	s	Rank	Grade	Einstufung	Categoría	Grado
PLAYER_RANKING_0	Worst ranking.	s	Tasmanian Poodle	Caniche de Tasmanie	Tasmanischer Pudel	Perrito Faldero de Tasmania	Mestus
PLAYER_RANKING_1	s	s	Granny	Grand-mère	Granny	Obsoleto	Vetustus
PLAYER_RANKING_2	s	s	Mean Devil	Diabolique	Mieser Teufel	Diablo Roñoso	Perfidus
PLAYER_RANKING_3	s	s	Whirling Dervish	Derviche tourneur	Tanzender Derwisch	Remolino Endemoniado	Acerrimus
PLAYER_RANKING_4	Best ranking.	s	Sam Buster	Tornade de Tasmanie	Sprengmeister	Sambombazo	Bestialis
FILLER	Intentionally blank line.	s					
CHOOSE_ICON	When creating a save game or entering a high-score players get to choose an icon (typically a WB character).	s	Choose Your Icon	Choisissez votre icône	Wähle dein Icon	Elige un icono	Scegli la tua icona
ENTER_INITIALS	When creating a save game or entering a high-score players get to enter three letters as their initials.	s	Enter Your Initials	Entrez vos initiales	Gib deine Initialen ein	Introduce tus iniciales	Inserisci la tua sigla
HIGH_SCORE_TITLE	"Title of the ""Records"" page from the main menu."	s	High Scores	Meilleurs scores	Bestenliste	Mejores puntuaciones	Record
START_GAME	Main menu option to start a new game or resume a saved one.	s	Start Game	Commencer la partie	Spiel starten	Iniciar partida	Inizia partita
GAME_OPTIONS	"Main menu option to alter in-game settings such as difficulty, screen position, pad vibration."	s	Game Options	Options de jeu	Spieloptionen	Opciones de juego	Opzioni di gioco
AUDIO_OPTIONS	Main menu option to alter in-game volumes for sound effects and music.	s	Audio Options	Options audio	Audiooptionen	Opciones de sonido	Opzioni audio
TWO_PLAYER	Main menu option to select a two player game.	s	Two-Player	Deux joueurs	Zweispieler-Modus	Dos jugadores	Due giocatori
RECORDS	Main menu option to view high-scores in the game.	s	Records	Records	Archiv	Puntuaciones	Record
CHOOSE_GALLERY	As players reach certain pre-defined scores in game they open up bonus art galleries in the front end of the game.	s	Choose A Gallery To View	Choisissez une galerie à regarder	"Wähle die Galerie aus, die angezeigt werden soll"	Elige qué museo visualizar	Scegli una galleria
NOT_AVAILABLE	Text displayed on screen if there are no bonus art galleries unlocked yet.	s	Not Available Yet	Pas encore disponible	Noch nicht verfügbar	Todavía no está disponible	Nessuna galleria disponibile
NONE_AVAILABLE	Text displayed on screen if there are no bonus games unlocked yet.	s	None Available Yet	Aucun n'est encore disponible	Noch keines verfügbar	Todavía no hay ninguno disponible	Nessuna modalità disponibile
EXTRAS	"Main menu option to access extra features of the game, including bonus art galleries, bonus games, credits."	s	Extras	Options supplémentaires	Extras	Extras	Extra
START_GAME_ACTION	"Informational text printed when the ""Start Game"" menu option is highlighted."	s	"Start a new game, or continue an existing one."	Commencer une nouvelle partie ou continuer une partie en cours.	Starte ein neues Spiel oder setze ein altes Spiel fort.	Empezar una nueva partida o reanudar una existente.	Inizia una nuova partita o continuane una esistente.
GAME_OPTIONS_ACTION	"Informational text printed when the ""Game Options"" menu option is highlighted."	s	Change game settings	Modifier les paramètres du jeu	Ändere die Spieleinstellungen	Modificar configuraciones del juego	Modifica le impostazioni di gioco
AUDIO_OPTIONS_ACTION	"Informational text printed when the ""Audio Options"" menu option is highlighted."	s	Change audio settings	Modifier les paramètres audio	Ändere die Audioeinstellungen	Modificar configuraciones de sonido	Modifica le impostazioni audio
TWO_PLAYER_ACTION	"Informational text printed when the ""Two Player"" menu option is highlighted."	s	Choose a two-player game	Choisir une partie à deux joueurs	Wähle ein Zweispieler-Spiel aus	Seleccionar una partida para dos jugadores	Scegli una partita a due giocatori
RECORDS_ACTION	"Informational text printed when the ""Records"" menu option is highlighted."	s	View best rankings	Voir les meilleurs scores	Sieh dir die Bestenliste an	Visualizar mejores puntuaciones	Visualizza punteggi migliori 
ARE_YOU_SURE	Text asking the user to confirm a major action like quitting the game etc.	s	Are you sure you want to?	Etes-vous sûr de votre choix ?	Willst du das wirklich?	¿Estás seguro?	Sei proprio sicuro?
EXTRAS_ACTION	"Informational text printed when the ""Extras"" menu option is highlighted."	s	"Secret Menu... Ooops, you're not meant to see that!"	"Menu secret... Oups, vous n'étiez pas censés voir ça !"	"Geheimmenü... Huch, das solltest du doch gar nicht sehen!"	"Menú secreto... ¡Eh, tú no deberías verlo!"	"Menu segreto... Ooops, fai finta di niente!"
X_TO_SELECT_Y_TO_RETURN	s	s	@(cross) Select  @(triangle) Back	@(cross) Sélectionner  @(triangle) Retour	@(cross) Auswählen  @(triangle) Zurück	@(cross) Seleccionar  @(triangle) Atrás	@(cross) Scegli  @(triangle) Indietro
PRESS_X_TO_TOGGLE	s	s	@(cross) to toggle	@(cross) pour basculer	@(cross) Umschalten	@(cross) para activar	@(cross) per attivare
GO_DIFFICULTY	"Play on the word ""Difficulty"" for setting the game's difficulty level. Probably a nightmare to localise. Sorry."	s	Daffy-culty	Daffy-culté	Schwierigkeitsgrad	Dificultad	Livello di Daffy-coltà
GO_DIFF_EASY	Easiest difficulty setting.	s	Standard	Standard	Standard	Moderada	Normale
GO_DIFF_MEDIUM	Medium difficulty setting.	s	Advanced	Confirmé	Fortgeschrittene	Avanzada	Avanzato
GO_DIFF_HARD	Hard difficulty setting.	s	Expert	Expert	Experten	Experto	Esperto
SG_DIFF_EASY	Easiest difficulty setting in brackets.	s	(Standard)	(Standard)	(Standard)	(Moderada)	(Normale)
SG_DIFF_MEDIUM	Medium difficulty setting in brackets.	s	(Advanced)	(Confirmé)	(Fortgeschrittene)	(Avanzada)	(Avanzato)
SG_DIFF_HARD	Hard difficulty setting in brackets.	s	(Expert)	(Expert)	(Experten)	(Experto)	(Esperto)
GO_VIBRATION	Refers to the vibration/rumble function on the joypad/joystick.	s	Vibration	Mode Vibration	Vibration	Vibración	Vibrazione
GO_SUBTITLES	We offer on-screen subtitles for spoken dialogue if the user wishes.	s	Subtitles	Sous-titres	Untertitel	Subtítulos	Sottotitoli
GO_ADJUST_SCREEN	On PlayStation2 we offer the ability for the player to shift the vertical and horizontal offset of the display to get the best from their television.	s	Adjust Screen Position	Ajuster la position de l'écran	Bildschirmposition einstellen	Desplazar la posición de pantalla	Regola posizione schermo
